Unnamed: 0,scrapedate,lastupdated,stateagency,fac_facilinitials,facility,fac_inc_positive,fac_inc_positivelast14days,fac_inc_active,fac_inc_releasedwhileactive,fac_inc_recovered,fac_inc_deaths,fac_staff_population,fac_staff_partiallyvaccinated,fac_staff_fullyvaccinated,facilties_staff_fullyvaccinatedpercent,fac_inc_population,fac_inc_partiallyvaccinated,fac_inc_fullyvaccinated,facilties_inc_fullyvaccinatedpercent,fac_staff_positive,fac_staff_recovered,sum_inc_tested,sum_staff_deaths,sum_staff_active,sum_inc_vaccinated,sum_staff_vaccinated,facility_bjs,fac_state,fac_inc_tested,fac_staff_deaths,fac_inc_new_deaths,fac_inc_new_recovered,fac_inc_new_tested,fac_inc_new_positive,fac_inc_negative,fac_inc_new_negative,fac_inc_released,fac_inc_new_released,fac_inc_tested1000,fac_inc_new_tested1000,fac_inc_pending,fac_inc_activetested14,fac_inc_activeptested14,fac_inc_activeinconclusive,fac_staff_new_deaths,fac_staff_new_recovered,fac_staff_new_positive,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_vaccited,sum_staff_positive,sum_staff_vaccited,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeusetxt,bjs_fac_changemth,bjs_fac_changeyr,bjs_fac_changeclose,bjs_fac_notes2,oldnew,fac_staff_active,fac_staff_newlast14days,state
23,2021-01-01,44196,CA,PVSP,Pleasant Valley State Prison,1970.0,84.0,95.0,10.0,1862.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24863 West Jayne Avenue, Coalinga, CA 93210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
24,2021-01-01,44196,CA,CRC,CA Rehabilitation Center,1833.0,94.0,93.0,55.0,1685.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 5th Street & Western, Norco, CA 92860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
25,2021-01-01,44196,CA,HDSP,High Desert State Prison,1912.0,109.0,93.0,3.0,1814.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"475-750 Rice Canyon Rd., Susanville, CA 96127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
26,2021-01-01,44196,CA,SATF,Substance Abuse Treatment Facility,2988.0,66.0,78.0,16.0,2888.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"900 Quebec Avenue, Corcoran, CA 93212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
27,2021-01-01,44196,CA,SAC,"CA State Prison, Sacramento",233.0,61.0,77.0,4.0,152.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 Prison Road, Represa, CA 95671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
28,2021-01-01,44196,CA,ASP,Avenal State Prison,3085.0,64.0,66.0,82.0,2929.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Kings Way, Avenal, CA 93204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
29,2021-01-01,44196,CA,DVI,Deuel Vocational Institution,143.0,63.0,64.0,0.0,79.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23500 Kasson Road, Tracy, CA 95304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
30,2021-01-01,44196,CA,CIM,CA Institution for Men,1468.0,40.0,41.0,38.0,1362.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14901 Central Avenue, Chino, CA 91710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
31,2021-01-01,44196,CA,PBSP,Pelican Bay State Prison,191.0,29.0,31.0,5.0,155.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 5905 Lake Earl Drive, Crescent City, CA 95531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
32,2021-01-01,44196,CA,CIW,CA Institution for Women,435.0,7.0,19.0,10.0,405.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16756 Chino-Corona Road, Corona, CA 92880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CA.csv
